key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
"Special Envoy for Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"St. Lucia",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Stern,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Strengthening United States National Defense with America's",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Supreme Court",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Syria,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Tanzania,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Texas,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"The Adaptation Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Air Resources Board",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the American Reinvestment and Recovery Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The British Thermal Tax",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Bush Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the California Climate Action Registry",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The California Global Warming Solutions Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the California Legislature",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the California Vehicle Global Warming",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Canadian Province",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the Carbon Disclosure Standards Board",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the CCP Campaign",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Center for American Progress Action Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Center for Climate and Energy Solutions",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Center for Climate Integrity",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Cities for Climate Protection",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
